,names,MSE,MAE
0,X,7917.88810227,7965.31977687
1,Y,8054.276454,8038.02714258
2,month,8348.03477222,8161.60240256
3,day,8766.00860807,8071.47074065
4,FFMC,8167.79371101,8272.28776004
5,DMC,8420.20009028,8180.29469597
6,DC,7835.24633945,8179.53233271
7,ISI,8173.13490286,7685.24648188
8,temp,7929.98893758,8248.86695346
9,RH,7827.86907936,8274.44869419
10,wind,8146.58285779,8044.33337205
11,rain,8184.25679796,8031.81485486
